user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,is_retained,DoW,channel_code,is_correct_lang
a100000029,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,TRUE,0,1,Yes
a100000030,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,,TRUE,0,1,Yes
a100000031,1/1/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/1/2018,,TRUE,0,1,Yes
a100000032,1/1/2018,House Ads,personalization,TRUE,English,English,30-36 years,1/1/2018,,TRUE,0,1,Yes
a100000033,1/1/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/1/2018,,TRUE,0,1,Yes
a100000034,1/1/2018,House Ads,personalization,TRUE,German,German,45-55 years,1/1/2018,,TRUE,0,1,Yes
a100000035,1/1/2018,House Ads,personalization,TRUE,English,English,55+ years,1/1/2018,,TRUE,0,1,Yes
a100000036,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,TRUE,0,1,Yes
a100000037,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,,TRUE,0,1,Yes
a100000038,1/1/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/1/2018,,TRUE,0,1,Yes
a100000039,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,TRUE,0,1,Yes
a100000040,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,1/18/2018,FALSE,0,1,Yes
a100000041,1/1/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/2018,2/22/2018,FALSE,0,1,Yes
a100000042,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,3/9/2018,FALSE,0,1,Yes
a100000043,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,2/18/2018,FALSE,0,1,Yes
a100000044,1/1/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/2018,3/3/2018,FALSE,0,1,Yes
a100000045,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,2/4/2018,FALSE,1,1,Yes
a100000046,1/2/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/2/2018,1/9/2018,FALSE,1,1,Yes
a100000047,1/2/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/2/2018,2/4/2018,FALSE,1,1,Yes
a100000048,1/2/2018,House Ads,personalization,TRUE,German,German,0-18 years,1/2/2018,1/21/2018,FALSE,1,1,Yes
a100000049,1/2/2018,House Ads,personalization,TRUE,German,German,19-24 years,1/2/2018,,TRUE,1,1,Yes
a100000050,1/2/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/2/2018,,TRUE,1,1,Yes
a100000050,1/1/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/2/2018,,TRUE,1,1,Yes
a100000051,1/2/2018,House Ads,personalization,TRUE,English,English,30-36 years,1/2/2018,,TRUE,1,1,Yes
a100000051,1/1/2018,Push,personalization,FALSE,English,English,30-36 years,1/2/2018,,TRUE,1,1,Yes
a100000052,1/2/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/2/2018,,TRUE,1,1,Yes
a100000052,1/1/2018,House Ads,personalization,FALSE,English,English,36-45 years,1/2/2018,,TRUE,1,1,Yes
a100000053,1/2/2018,House Ads,personalization,TRUE,English,English,45-55 years,1/2/2018,,TRUE,1,1,Yes
a100000053,1/1/2018,House Ads,personalization,FALSE,English,English,45-55 years,1/2/2018,,TRUE,1,1,Yes
a100000054,1/2/2018,House Ads,personalization,TRUE,English,English,55+ years,1/2/2018,,TRUE,1,1,Yes
a100000054,1/1/2018,House Ads,personalization,FALSE,English,English,55+ years,1/2/2018,,TRUE,1,1,Yes
a100000055,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,,TRUE,1,1,Yes
a100000055,1/1/2018,Push,personalization,FALSE,English,English,0-18 years,1/2/2018,,TRUE,1,1,Yes
a100000056,1/2/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/2/2018,,TRUE,1,1,Yes
